"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"DE","gebührenfrei","gebührenfrei:gebührenfrei","/ɡə.byː.ʀən.fʀaɪ/","glorify","/ˈɡlɔ.ɹə.ˌfaɪ/","geben frei","/ɡeː.bən/ /fʀaɪ/","glorifier","/ɡlɔ.ʁi.ˈfje/","が ビー 兎 ニ 兎 彼","/ɡa/ /biː/ /u/ /ni/ /u/ /a/","閣 鬚 人 筏","/kɤ˧˥/ /ɕy˥˥/ /ʐən˧˥/ /fa˧˥/","toll free","glorify","free","glorify","Bee rabbit 1 Rabbit he","閣 鬚 person raft"
"DE","Erretter","Erretter:Erretter","/ɛ.ʀɛ.tɐ/","editor","/ˈɛ.dɪ.təɹ/","Retter","/ʀɛ.tɐ/","inventer","/ɛ.va.ˈte/","絵 蛇 手","/e/ /d͡ʑa/ /te/","椅 爺 獺","/i˨˩˦/ /iɛ˧˥/ /ta˨˩˦/","Savior","editor","Savior","invent","Picture snake hand","Royal Chair 獺"
"DE","gesprächig","gesprächig:gesprächig","/ɡə.ʃpʀeː.çɪç/","galactic","/ɡə.ˈlæk.tɪk/","Gespräch","/ɡɛ.ʃpʀeːç/","gaspiller","/ɡa.spi.ˈje/","語 死 絵 人","/ɡo/ /ʃi/ /e/ /d͡ʑiɴ/","胳 筆 師 師","/kɤ˥˥/ /pi˨˩˦/ /ʂ˥˥/ /ʂ˥˥/","talkative","galactic","Conversation","waste","Language death picture people","Incubate pen teacher teacher"
"DE","benutzergesteuert","benutzergesteuert:benutzergesteuert","/bə.nuːt.t͡sɐ.ɡə.ʃtɔɪ.ɛɐt/","benevolent","/bə.ˈnɛ.və.lənt/","benutzt steuert","/beː.nʊt͡st/ /ʃtɔɪ.ɛɐt/","bureau de poste","/by.ʁo.də.ˈpɔst/","ビー ぬ 唾 が 死 兎 胃 手","/biː/ /nu/ /t͡su/ /ɡa/ /ʃi/ /u/ /i/ /te/","菠 孥 匙 酥 茹 獅 豆 椅 司","/po˥˥/ /nu˧˥/ /tʂ˧˥/ /su˥˥/ /ʐu˧˥/ /ʂ˥˥/ /tou˥˩/ /i˨˩˦/ /s˥˥/","user controlled","benevolent","used controls","Post office","Bee gone saliva death rabbit stomach hands.","Keep crisp Ros 獅 nu spoon bean Chair Division"
"DE","abgesplittert","abgesplittert:abgesplittert","/aːp.ɡə.ʃplɪ.tɛɐt/","isolated","/ˈaɪ.sə.ˌleɪ.tɪd/","Abgang flattert","/aːp.ɡaŋ/ /fla.tɛɐt/","Angleterre","/a.ɡlə.ˈtɛʁ/","彼 が 死 絵 手 手","/a/ /ɡa/ /ʃi/ /e/ /te/ /te/","鞍 鼓 司 梨 獺 司","/an˥˥/ /ku˨˩˦/ /s˥˥/ /li˧˥/ /ta˨˩˦/ /s˥˥/","broken off","isolated","Outlet flaps","England","He was death pictures hand in hand.","Saddle drum Secretary PEAR 獺 Secretary"
"DE","Funktionalität","Funktionalität:Funktionalität","/fʊŋ.t͡sjoː.naː.liː.teːt/","facilitate","/fə.ˈsɪ.lɪ.ˌteɪt/","Funktion mietet","/fʊŋ.t͡sjoːn/ /miː.teːt/","fonction qualité","/fok.ˈsjo/ /ka.li.ˈte/","選挙 七 地 手","/seŋ.kjo/ /na/ /d͡ʑi/ /te/","蜂 菠 拿 梨 匙","/fəŋ˥˥/ /po˥˥/ /na˧˥/ /li˧˥/ /tʂ˧˥/","Functionality","facilitate","Function hire","quality function","7 Election in hand","Bee keep PEAR spoons"
"DE","Kriegszustand","Kriegszustand:Kriegszustand","/kʀiːk.st͡sʊ.ʃtant/","consistent","/kən.ˈsɪ.stənt/","Krieg Zustand","/kʀiːk/ /t͡sʊ.ʃtant/","cristal","/kʁi.ˈstal/","木 酢 田 手","/ki/ /su/ /ta/ /te/","鼓 獅 司 鵡 獅 蛋 子","/ku˨˩˦/ /ʂ˥˥/ /s˥˥/ /u˨˩˦/ /ʂ˥˥/ /tan˥˩/ /ts˨˩˦/","State of war","consistent","Get State","Crystal","Pyroligneous acid rice field hand","鵡 Lion Drum lion Secretary eggs"
"DE","Taktraster","Taktraster:Taktraster","/taːk.tʀa.ʃtɐ/","tack trustee","/tæk/ /tɹʌ.ˈsti/","Takte Raster","/taːk.tə/ /ʀa.ʃtɐ/","tentation","/ta.ta.ˈsjo/","田 木 田 手","/ta/ /ki/ /ta/ /te/","溏 咂 梯","/taŋ˧˥/ /tsa˥˥/ /ti˥˥/","Time grid","tack trustee","Measures grid","temptation","Tanaka wood field hand","Half congealed savor ladder"
"DE","massieren","massieren:massieren","/ma.siː.ʀən/","massacre","/ˈmæ.sə.kəɹ/","Massen","/ma.sən/","masser laine","/ma.ˈse/ /lɛn/","ま 里 胃 ニ","/ma/ /ɾi/ /i/ /ni/","媽 司 椅 門","/ma˥˥/ /s˥˥/ /i˨˩˦/ /mən˧˥/","massage","massacre","Mass","massage wool","Well, stomach (d)","Mama Division Chair Carmen"
"DE","Verkehrsstraßen","Verkehrsstraßen:Verkehrsstraßen","/fɛɐ.keːɐ.stʀaː.sən/","federation","/ˌfɛ.də.ˈɹeɪ.ʃən/","Verkehr Straßen","/feːɐ.keːɐ/ /ʃtʀaː.sən/","fer à repasser","/fea.ʁə.pa.ˈse/","サー 毛 酢 彼 線","/saː/ /ke/ /su/ /a/ /seɴ/","啡 給 司 咂 森","/fei˥˥/ /kei˨˩˦/ /s˥˥/ /tsa˥˥/ /sən˥˥/","Roads","federation","Traffic roads","iron","Sir hair vinegar he line","Brown gave Secretary slain sum"
