abandon	3.05
abat-jour	5
abattoir	4.34
abbé	3.16
abdomen	5.25
abeille	5.54
abîme	2.94
aboiement	3.79
abondance	3.13
abonné	2.92
abonnement	3.07
abri	4.84
abricot	5.16
absence	3.02
abstinence	3
abstraction	2.55
abus	3.33
abuser	3.54
académie	3.32
accélérateur	4.06
accent	3.86
acceptation	2.65
accès	3.01
accession	2.53
accessoire	4.04
accident	4.58
accord	2.91
accordéon	5.72
accouplement	4.24
accoupler	4.36
accroc	2.66
accueil	3.06
accusation	3.12
accusé	3.25
achat	3.94
acide	4.13
acier	4.68
acquisition	2.86
âcre	3.36
acte	2.9
acteur	4.69
action	3.18
activation	2.79
activité	3.1
actrice	4.97
actualité	2.79
adage	2.31
adaptation	2.26
adhésion	2.98
adieu	2.96
adjectif	2.91
adjoint	3.26
administrateur	3.45
administration	3
admiration	2.7
admission	3.33
adolescent	4.79
adolescente	5.06
adoption	3.43
adoration	2.65
adresse	4.1
adulte	4.89
adultère	3.31
adverbe	3.17
adversaire	3.56
aéroport	5.86
affaire	2.42
affection	3.21
affichage	3.95
affiche	5.04
affirmation	2.99
affluence	2.39
affolement	3.08
affres	2.25
affriolant	2.57
affrioler	2.65
âge	3.25
agenda	5.41
agent	3.83
agente	4.02
agilité	3.19
agitation	3.2
agneau	5.44
agonie	3.06
agrafe	5.18
agrafeuse	5.92
agression	3.28
agressivité	3.35
agriculteur	4.94
agriculture	4.06
agrumes	5.29
aguichant	2.77
aguichante	3
aide	3.37
aïeul	2.63
aigle	5.57
aigre	3.35
aiguille	5.43
ail	5.16
aile	5.11
aimant	4.77
aimer	3.42
aine	3.9
air	3.51
aire	3.72
aisance	2.73
aise	1.82
aisselle	4.68
ajout	3.28
ajustage	3.01
alaise	2.46
album	5.24
alcool	4.97
alerte	3.12
alexandrin	2.81
algèbre	3.99
algue	5.48
alibi	2.47
alignement	3.82
aliment	4.69
alimentation	3.87
allée	4.25
allégresse	2.56
alliance	4.12
alligator	6.05
allocution	2.3
allumette	5.65
allure	2.76
allusion	2.74
alouette	4.45
alphabet	4.79
altitude	4.18
amande	5.28
amant	3.64
amante	3.56
amas	3.2
amateur	3.34
ambassadeur	4.01
ambiance	2.69
ambiguïté	2.01
ambition	2.74
ambre	3.55
ambulance	5.77
âme	2.72
amélioration	2.17
aménagement	3.21
amende	4.66
amertume	2.76
ami	4.87
amitié	3.52
amnésie	3.08
amortisseur	3.51
amour	3.73
amourette	2.81
amoureuse	3.86
amoureux	4.27
ampère	2.85
ample	3.82
ampleur	2.88
amplificateur	4.38
amplitude	3.24
ampoule	6.07
amusement	3.36
an	3.31
anal	4.69
analingus	3.46
analogie	2.58
analyse	2.09
ananas	6.22
anarchie	2.35
anarchiste	2.29
anatomie	4.01
ancêtre(s)	3.73
anche	4.02
ancre	5.53
androgène	2.16
âne	5.44
ange	5.9
angle	5.01
angoisse	2.79
anguille	5.24
animal	5.26
animateur	4.05
animation	3.8
anneau(x)	5.24
année	3.14
annexe	3.75
anniversaire	4.16
annonce	3.61
annuaire	4.8
anse	4.12
antenne	5.28
antichambre	2.7
anticipation	2.58
antipathie	2.38
antiquaire	3.69
antithèse	2.55
antre	2.53
anus	4.98
anxiété	2.71
aorte	4.55
août	4.3
aperçu	2.71
apéritif	4.43
aphrodisiaque	3.23
aplomb	2.44
apogée	2.55
appareil	4.12
apparence	2.75
apparition	2.43
appartement	5.29
appât	3.78
appel	3.71
appétissant	3.55
appétit	3.26
application	3.19
apport	2.75
appréciation	2.83
apprentissage	2.95
approche	2.79
appui	3.17
âpre	2.46
après-midi	3.43
apte	2.78
aptitude	2.84
aquarelle	3.83
aquarium	5.47
arachide	5.54
araignée	5.58
arbalète	3.41
arbitre	5.16
arbre	5.62
arbuste	5.37
arc	5.09
arche	4.88
archer	3.68
archet	3.68
archipel	3.43
architecture	4.32
ardeur	2.51
arène	3.24
arête	4.7
argent	5.42
argile	4.7
argot	2.49
argument	2.65
arme	5.08
armée	5.07
armistice	2.34
armoire	5.4
armure	5.22
arôme	3.39
arrêt	4.7
arrivée	3.19
arrosoir	5.82
arsenal	2.99
art	4.04
artère	5.25
artichaut	4.85
article	3.8
articulation	3.72
artillerie	4.1
artisan	4.44
artiste	4.76
as	5.18
ascenseur	5.37
ascension	3.43
asile	4.08
aspect	2.06
asperge	5.94
asphalte	5.47
aspirateur	5.73
aspiration	3.07
aspirine	5.64
assaisonnement	3.98
assaut	3.36
assemblée	3.77
assiette	5.63
assistanat	2.62
assistance	3.17
assistant	3.77
association	2.66
assurance	2.85
asthme	4.12
astre	5.15
astronaute	5.9
astuce	2.48
atelier	4.5
atmosphère	3.94
atome	4.34
atout	2.83
âtre	2.19
attache	3.89
attachement	3.13
attaque	4.04
atteinte	2.58
attelage	3.83
attendrissement	2.85
attente	2.53
attention	2.18
attirance	3.26
attirant	3.29
attirante	3.54
attirer	3.31
attitude	2.06
attouchement	4.3
attraction	3.26
attrait	2.93
attrape	3.32
attribut	2.62
attribution	2.3
aube	4.6
auberge	4.96
aubergine	5.44
audace	2.6
audience	4.2
audition	3.59
auditoire	4.53
auge	2.62
augmentation	3.34
augure	2.09
aulne	2.84
aune	1.94
aura	3.31
aurore	4.37
autel	4.73
auteur	3.23
auteure	4.06
auto	5.74
autobus	5.57
automate	2.9
automne	4.55
automobile	6
autonomie	3.03
autorisation	2.79
autorité	2.94
autoroute	5.25
autre	2.81
autruche	5.98
auvent	3.41
aux	2.32
avalanche	5.33
avance	2.8
avant	3.18
avantage	2.18
avatar	2.31
avenir	2.69
aventure	3.17
avenue	4.15
averse	4.29
avertissement	3.34
aveu	2.76
avion	5.47
aviron	4.76
avis	2.48
avocat	4.78
avoine	5.32
avortement	4.42
avril	3.77
axe	4.47
azote	3.18
babillard	5.28
bac	4.36
bâche	2.79
bactérie	4.14
baffe	3.75
bagage	5.66
bagarre	4.49
bagatelle	3.25
bagne	2.65
bagnole	4.82
bague	5.6
baguette	5.07
baie	4.98
baignoire	5.63
bail	3.41
bain	5.37
baïonnette	4.24
baiser	5.44
baisse	3.39
bal	5.32
balade	4.04
balai	5.4
balance	4.87
balançoire	5.97
balcon	5.9
bale	2.85
baleine	6.2
balise	3.03
balle	5.56
ballerine	5.31
ballet	5.76
ballon	6.21
baluchon	4.73
bambin	4.8
bambou	5.8
ban	2.79
banane	5.52
banc	5.36
bande	4.34
bandeau	5.05
bandelette	3.54
bander	5.24
banderole	4.86
bandit	4.53
bandoulière	3.11
banjo	5.55
banlieue	4.05
bannière	4.84
banque	5.52
banquet	5.16
banquette	3.8
banquier	4.38
banquise	3.64
baptême	4.9
bar	5.59
baraque	4.16
barbe	5.41
barbecue	5.88
barbelé	4.33
barbiche	5.07
barbier	4.99
barboteuse	4.38
barde	2.88
barge	3.1
baril	5.45
baron	3.52
baronne	3.1
barque	5.02
barrage	5.2
barre	5.59
barreau	4.83
barrette	5.78
barricade	4.72
barrière	5.26
bas	4.88
